request_url	status_code	time_spent	request_method	request_host	request_port	request_path	request_query_params	request_content_type	request_http_version	response_content_type	response_content_length	server_header	clientip_port	serverip_port	tls_version	cipher
https://data.iana.org/TLD/tlds-alpha-by-domain.txt	304	0.03012	GET	data.iana.org	443	/TLD/tlds-alpha-by-domain.txt	MultiDictView[]		HTTP/2.0	text/plain; charset=UTF-8	0		('127.0.0.1', 59846)	('data.iana.org', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://nav-edge.smartscreen.microsoft.com/api/browser/edge/navigate/3	200	0.090056	POST	nav-edge.smartscreen.microsoft.com	443	/api/browser/edge/navigate/3	MultiDictView[]	application/json; charset=utf-8	HTTP/2.0	application/json; charset=utf-8	840	Kestrel	('127.0.0.1', 59850)	('nav-edge.smartscreen.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
https://github.com/madhavkr1506	200	0.896715	GET	github.com	443	/madhavkr1506	MultiDictView[]		HTTP/2.0	text/html; charset=utf-8	337825	github.com	('127.0.0.1', 59848)	('github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://avatars.githubusercontent.com/u/117391373?v=4	304	0.056454	GET	avatars.githubusercontent.com	443	/u/117391373?v=4	MultiDictView[('v', '4')]		HTTP/2.0		0		('127.0.0.1', 59860)	('avatars.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://raw.githubusercontent.com/devicons/devicon/master/icons/mongodb/mongodb-original-wordmark.svg	304	0.054101	GET	raw.githubusercontent.com	443	/devicons/devicon/master/icons/mongodb/mongodb-original-wordmark.svg	MultiDictView[]		HTTP/2.0		0		('127.0.0.1', 59863)	('raw.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://raw.githubusercontent.com/devicons/devicon/master/icons/java/java-original.svg	304	0.053381	GET	raw.githubusercontent.com	443	/devicons/devicon/master/icons/java/java-original.svg	MultiDictView[]		HTTP/2.0		0		('127.0.0.1', 59863)	('raw.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://raw.githubusercontent.com/devicons/devicon/master/icons/android/android-original-wordmark.svg	304	0.070909	GET	raw.githubusercontent.com	443	/devicons/devicon/master/icons/android/android-original-wordmark.svg	MultiDictView[]		HTTP/2.0		0		('127.0.0.1', 59863)	('raw.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://api.github.com/_private/browser/stats	200	0.362262	POST	api.github.com	443	/_private/browser/stats	MultiDictView[]	text/plain;charset=UTF-8	HTTP/2.0	text/plain	0	github.com	('127.0.0.1', 59856)	('api.github.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://raw.githubusercontent.com/devicons/devicon/master/icons/mysql/mysql-original-wordmark.svg	304	0.289935	GET	raw.githubusercontent.com	443	/devicons/devicon/master/icons/mysql/mysql-original-wordmark.svg	MultiDictView[]		HTTP/2.0		0		('127.0.0.1', 59863)	('raw.githubusercontent.com', 443)	TLSv1.3	TLS_AES_128_GCM_SHA256
https://functional.events.data.microsoft.com/OneCollector/1.0/	200	0.268643	POST	functional.events.data.microsoft.com	443	/OneCollector/1.0/	MultiDictView[]	application/bond-compact-binary	HTTP/2.0	application/json	9	Microsoft-HTTPAPI/2.0	('127.0.0.1', 59854)	('functional.events.data.microsoft.com', 443)	TLSv1.3	TLS_AES_256_GCM_SHA384
